text,score
haa,0
banti empowered woman feminism gyan pelti din bhar roti rehti pahle rona band madarchod,2
usko chhod mjse bat baap gya ldki beech madarchod,2
punjab madarchodon khila nokrian day imran,2
chill maar madarchod gand maar lene,2
jutt punjabi hoon paka league madarchod imran punjab nafrat clear,1
bhosdike baap madarchod,2
sunny leone chodege maa samjh madarchod neem patta kadva,2
sanghi kutte bha,2
screw law land find chutiya madarchod mulla lynch murder cut millions pieces,1
boy donated blood months broke boy khoon lauta girl throw,0
madarchod south africa england man match award chuke,2
madarchod congresi bjp sarkar wade bhul gye rajasthan hamri city singal,2
madarchod socialify,2
madarchod,2
sunny leone chodege maa samjh madarchod,2
madarchod giri harkt,2
maa behan rooj chood khayal warnna chudawati rahati madarchod,2
deewar superhit time hisaab atbb chutye compa,2
virat anushka future kid anushka mamma beta mammaaaa kid maa madarchod,1
madarchod brahmno mafi mango,1
suwar bache madar chod maa chut ghungru bajaunga madarchod bhar,2
fuck bhag madarchod,2
maa ben chudva sale benchod madarchod gabbar,2
madarchod created multiple accounts locked accounts amp,2
bakrichod uchal bhosdi madarchod bawasir shakal bhokti,2
kidhar chupe madarchod peta gandu,2
madarchod bahan lode comarision madarchod,2
madarchod maar dalo,2
embarassing bey madarchod ahmedabad commissioner permission hold rall,2
madarchod musalman aaiysha,1
madarchod randi bache gali gand phar bharve bhosrike aukat reh,2
bollywoodians madarchod kai saalon hoon,2
cranko madarchod unfollowed,2
ammi chodne insaan icc pure world isko badhai hat mulle madarchod,1
rafel deal rafel deal rafel deal madarchod congressio raj fighter deal chu,2
saniya madarchod randi twitter cum pyassi abtak jane loundo,2
donate madarchod hindu priests chors,1
madarchod screwed air india audacity question government khate sochte,2
madarchod sajid khan jayvijay problem uski performance bekar,2
maaa kuttey chudwaya suwar baaap jakar madarchod paida huwa randi aulaaad madarchod,2
ambani supporter madarchod mar,2
bhadva madarchod bhakt,2
usko chhod mjse bat baap gya ldki beech madarch,2
ammi inning virat khela paida abbu result gum madarchod,2
madarchod liberal manjrekar retweeted bhadwa congress dalal,2
madarchod jalta mujhse,2
modi madarchod maa khara note line maa modi harami chutiya,2
ammi free raandi madarchod free thinker paida huwa free mey randi devil chod,2
kutte jite madarchod dusro jeene deti,2
maa bhosra bharve aulad madarchod aukat gand phar bharve,2
madarchod bhagode multi starrer ese daava naseer equal,2
madarchod chahta,2
madarchod giri harkt,2
madarchod shilpa randi rona band,2
madarchod bhenchod bsdk bhikhari jihadi porkistani aab,2
chup chutye congress madarchod ahmedabad aake marunga,2
bhag madarchod,2
bhak machod mullo abbu,1
bhadwe aulad sale madarchod wajah zait failta hindu muslim bhen,1
madarchod mom meet road screwed,2
bap nay tweeter madarchod bhosdike zopdi bhen lode nikal,2
