old_text,score,text
haa,0,ha
banti empowered woman feminism gyan pelti din bhar roti rehti pahle rona band madarchod,2,banti empowered adult female feminism gyan pelti daytime round cake rehti yesterday weep tier motherfucker
usko chhod mjse bat baap gya ldki beech madarchod,2,usko chhod mjse words father gya ldki midway motherfucker
punjab madarchodon khila nokrian day imran,2,punjab mother fucker khila nokrian day imran
chill maar madarchod gand maar lene,2,chill kill motherfucker ass kill lene
jutt punjabi hoon paka league madarchod imran punjab nafrat clear,1,jutt Punjabi hoon ripe league motherfucker imran punjab nafrat pure
bhosdike baap madarchod,2,pussy fucker father motherfucker
sunny leone chodege maa samjh madarchod neem patta kadva,2,sunny leone chodege mother wit motherfucker neem patta kadva
sanghi kutte bha,2,sanghi dog bha
screw law land find chutiya madarchod mulla lynch murder cut millions pieces,1,screw legislation land find fucker motherfucker muslim bastard lynch murder cut millions pieces
boy donated blood months broke boy khoon lauta girl throw,0,boy donated blood months broke boy blood lauta girl throw
madarchod south africa england man match award chuke,2,motherfucker south africa england nous match award chuke
madarchod congresi bjp sarkar wade bhul gye rajasthan hamri city singal,2,motherfucker congresi bjp government wade trip gye rajasthan hamri city singal
madarchod socialify,2,motherfucker socialify
madarchod,2,motherfucker
sunny leone chodege maa samjh madarchod,2,sunny leone chodege mother wit motherfucker
madarchod giri harkt,2,motherfucker giri harkt
maa behan rooj chood khayal warnna chudawati rahati madarchod,2,mother sister rooj chood khayal warnna chudawati rahati motherfucker
deewar superhit time hisaab atbb chutye compa,2,wall superhit time tally atbb pussy compa
virat anushka future kid anushka mamma beta mammaa kid maa madarchod,1,virat anushka future kid anushka mamma son mammaa kid mother motherfucker
madarchod brahmno mafi mango,1,motherfucker brahmno mafi mango
suwar bache madar chod maa chut ghungru bajaunga madarchod bhar,2,suwar bache madar fuck mother pussy ghungru bajaunga motherfucker round
fuck bhag madarchod,2,fuck zone motherfucker
maa ben chudva sale benchod madarchod gabbar,2,mother ben chudva sucker sister fucker motherfucker gabbar
madarchod created multiple accounts locked accounts amp,2,motherfucker created multiple accounts locked accounts amp
bakrichod uchal bhosdi madarchod bawasir shakal bhokti,2,bakrichod uchal bhosdi motherfucker bawasir shakal bhokti
kidhar chupe madarchod peta gandu,2,kidhar chupe motherfucker peta faggot
madarchod bahan lode comarision madarchod,2,motherfucker sister lode comarision motherfucker
madarchod maar dalo,2,motherfucker kill dalo
embarassing bey madarchod ahmedabad commissioner permission hold rall,2,embarassing bey motherfucker ahmedabad commissioner permission hold rall
madarchod musalman aaiysha,1,motherfucker muslim aaiysha
madarchod randi bache gali gand phar bharve bhosrike aukat reh,2,motherfucker hooker bache passage ass round bharve bhosrike aukat reh
bollywoodians madarchod kai saalon hoon,2,bollywoodians motherfucker umpteen saalon hoon
cranko madarchod unfollowed,2,cranko motherfucker unfollowed
ammi chodne insaan icc pure world isko badhai hat mulle madarchod,1,ammi fuck insaan icc throughout world him greeting hat muslim motherfucker
rafel deal rafel deal rafel deal madarchod congressio raj fighter deal chu,2,rafel deal rafel deal rafel deal motherfucker congressio secret fighter deal chu
saniya madarchod randi twitter cum pyassi abtak jane loundo,2,saniya motherfucker hooker twitter cum pyassi abtak jane loundo
donate madarchod hindu priests chors,1,donate motherfucker hindu priests chors
madarchod screwed air india audacity question government khate sochte,2,motherfucker screwed current of air india audacity question government khate sochte
madarchod sajid khan jayvijay problem uski performance bekar,2,motherfucker sajid workings jayvijay problem hers performance bekar
maa kuttey chudwaya suwar baap jakar madarchod paida huwa randi aulaad madarchod,2,mother dog fuck suwar father go and motherfucker born huwa hooker aulaad motherfucker
ambani supporter madarchod mar,2,ambani supporter motherfucker mar
bhadva madarchod bhakt,2,pimp motherfucker adorer
usko chhod mjse bat baap gya ldki beech madarch,2,usko chhod mjse words father gya ldki midway madarch
ammi inning virat khela paida abbu result gum madarchod,2,ammi inning virat khela born abbu outcome gum motherfucker
madarchod liberal manjrekar retweeted bhadwa congress dalal,2,motherfucker liberal manjrekar retweeted bhadwa congress whoremaster
madarchod jalta mujhse,2,motherfucker jalta mujhse
modi madarchod maa khara note line maa modi harami chutiya,2,modi motherfucker mother khara note line mother modi bastard fucker
ammi free raandi madarchod free thinker paida huwa free mey randi devil chod,2,ammi free hooker motherfucker free thinker born huwa free within hooker devil fuck
kutte jite madarchod dusro jeene deti,2,dog jite motherfucker dusro jeene deti
maa bhosra bharve aulad madarchod aukat gand phar bharve,2,mother bhosra bharve son motherfucker aukat ass round bharve
madarchod bhagode multi starrer ese daava naseer equal,2,motherfucker bhagode multi starrer ese action at law naseer equal
madarchod chahta,2,motherfucker chahta
madarchod giri harkt,2,motherfucker giri harkt
madarchod shilpa randi rona band,2,motherfucker shilpa hooker weep tier
madarchod bhenchod bsdk bhikhari jihadi porkistani aab,2,motherfucker sister fucker bsdk panhandler terrorist porkistani yet
chup chutye congress madarchod ahmedabad aake marunga,2,shut up pussy congress motherfucker ahmedabad aake marunga
bhag madarchod,2,zone motherfucker
bhak machod mullo abbu,1,adorer mother fucker mullo abbu
bhadwe aulad sale madarchod wajah zait failta hindu muslim bhen,1,pimp son sucker motherfucker score zait failta hindu muslim bhen
madarchod mom meet road screwed,2,motherfucker beeswax meet road screwed
bap nay tweeter madarchod bhosdike zopdi bhen lode nikal,2,father nay tweeter motherfucker pussy fucker zopdi bhen lode nikal
terrorist madarchod humse baat,2,terrorist motherfucker us words
madarchod saala,2,motherfucker sucker
randi beti madarchod baap chuda moti bhains,2,hooker beti motherfucker father fucking pearl buffalo
madarchod chutiya sale,2,motherfucker fucker sucker
katra hotel owners madarchod,2,square hotel owners motherfucker
ammi chudwa madarchod minus minus dimaag thikaney aajaye,2,ammi chudwa motherfucker minus minus dimaag thikaney aajaye
narad muni madarchod,2,narad muni motherfucker
madarchod karamfoot gaandu father congress,2,motherfucker karamfoot ass father congress
behsaram madarchod madarjaat mara suiside kutte harami madarchodd,2,behsaram motherfucker  mother fucker mara suiside dog bastard mother fucker
virtue signalling chutiya grab collar playing rules saala baap sikhata fucki,2,virtue signalling fucker grab collar playing rules sucker father sikhata fucki
madarchod neta,2,motherfucker strongman
arrey madarchod bacchey terko inko congrates karney time tweet,2,arrey motherfucker bacchey terko them congrates karney time tweet
baat zaira waseem tatti kha hutiye warna baa,2,words zaira waseem shit kha hutiye warna baa
madarchod sunega,2,motherfucker sunega
maa randi madarchod saale pakistani,1,mother hooker motherfucker bastard pakistani
madarchod khati voh chutiye,2,motherfucker khati that fucker
agree behanchod madarchod bhosdi gali baat smjjhane kaa,2,agree sister fucker motherfucker bhosdi passage words smjjhane of
madarchod choro hindustan chodo,2,motherfucker choro hindustan fuck
madarchod vote bet dalali sake,2,motherfucker vote bet dalali sake
madarchod haii dosti namm sala dhoka deta,2,motherfucker haii friendship namm god-damn/god-damned/goddam dhoka deta
madarchod fawad ball khelaya gya usey inning samjh grow morons bhabhi,2,motherfucker fawad snowball khelaya gya him inning wit grow morons bhabhi
bahenchod achhe khase lund bekar bada risk,2,sister fucker achhe khase  dick bekar bada risk
zindagi yaar bahenchod dimag khrb night,2,zindagi sport sister fucker wit khrb night
ladke aapki beti ladki papa twitter logo bahenchod bolkar gender equality yogdan,2,ladke aapki beti ladki papa twitter logo sister fucker bolkar gender equality yogdan
zindagi yaar bahenchod dimag khrb night,2,zindagi sport sister fucker wit khrb night
bahenchod sharam san fixedwinnershilpa,2,sister fucker sharam san fixedwinnershilpa
hny time kamaya payment,0,hny time kamaya payment
ache bahenchod,2,ache sister fucker
madarchod bahenchod rat motorbike petrol churane,2,motherfucker sister fucker night motorbike petrol churane
bahenchod lots wynk music app pure mood maa behen dete,2,sister fucker lots wynk music app throughout mood mother sister dete
don word called bahenchod,2,don plight called sister fucker
reply ladkiya khe bahenchod normal maal khe galat maal,2,reply ladkiya K sister fucker normal consignment K abusive consignment
bahenchod aaukad rah,2,sister fucker aaukad rah
friend bete naam rakhu sabki zubaan bahenchod,2,friend bete title rakhu sabki zubaan sister fucker
idiot fuck fucking human rights watch watching baluchistan motherfuckers shd close,2,idiot fuck fucking human rights watch watching baluchistan motherfuckers shd adjacent
anushka baby shadi nam bulao gey virat bahenchod virushkawedding,2,anushka baby marriage title bulao gey virat sister fucker virushkawedding
bahenchod experienced bhot,2,sister fucker experienced bhot
bahenchod sale bra mangege bahen chuchi masal,2,sister fucker sucker bra mangege sister boobs masal
gaali bahenchod,2,dirty word sister fucker
bahenchod fake chala,2,sister fucker fake chala
chalo dost birthday countdown mtlb story,0,chalo playfellow birthday countdown mtlb story
sanghi kutte bha,2,sanghi dog bha
anushka baby shadi nam bulao gey virat bahenchod virushkawedding,2,anushka baby marriage title bulao gey virat sister fucker virushkawedding
bahenchod sale bra mangege bahen chuchi masal sali ghutno bithuga kutiya,2,sister fucker sucker bra mangege sister boobs masal bitch ghutno bithuga bitch
bahen dalna bahenchod naale paida,2,sister dalna sister fucker naale born
friend bete naam rakhu sabki zubaan bahenchod,2,friend bete title rakhu sabki zubaan sister fucker
bahenchod sharam san fixedwinnershilpa,2,sister fucker sharam san fixedwinnershilpa
friend bete naam rakhu sabki zubaan bahenchod,2,friend bete title rakhu sabki zubaan sister fucker
bahenchod saddest girl ready guy sleep,2,sister fucker saddest girl ready guy sleep
bahenchod saal maa chudwa,2,sister fucker year mother chudwa
maadarchod dusaro chhod gandhi family aisho aaram bahenchod dusaro fik,2,mother fucker dusaro chhod filthy family aisho aaram sister fucker dusaro fik
bahenchod laal chaddi goons,2,sister fucker scarlet chaddi goons
badir announced funding statistics emerging startups saudi arabia startup news tech,0,idiot announced funding statistics emerging startups saudi arabia startup news tech
saala bhadva chandi mukut dene waley shaadi isliye,2,sucker pimp silver tiara dene waley marriage that is why
bhadve bhadva giri sabko shame,2,bhadve pimp giri sabko shame
neem pta kadva karan patel bhadva chaman chuti izzat utarvane tulla,2,neem pta kadva score patel pimp flower garden fucker  izzat utarvane tulla
bhadva jnta party bjp sale kutto,2,pimp jnta jamboree bjp sucker dog
lukachut bhadva,2,lukachut pimp
aese bhadva logo mind leneka pakistan jake sarkar girane dalal,2,aese pimp logo mind leneka Pakistan jake government girane whoremaster
aamir khan great bhadva immediately started speaking jihadi zaira touched speaks hindus,2,aamir workings great pimp immediately started speaking terrorist zaira touched speaks hindu
bihar bhadva gujarati kadva kehete,2,bihar pimp gujarati kadva kehete
pakistan bhadva,2,Pakistan pimp
bhadvas started bark great bhadva party,2,pimp started bark great pimp jamboree
haa rahul ghu khata gandi nali kida bhadva,2,ha rahul ghu account filthy nali kida pimp
kickout arshi chhinal vikas bhadva,2,kickout arshi chhinal unfolding pimp
large number ayengey bjp vote karengey gaand,2,large place ayengey bjp vote karengey ass
hindi vane politics sala bhadva samjate pappu perie,2,hindi vane politics god-damn/god-damned/goddam pimp samjate pappu perie
chatne kutta chatukar bhakt dalal bhadva kutta,2,chatne dog chatukar adorer whoremaster pimp dog
bhadva lalu prasad saala thappad maar,2,pimp lalu prasad sucker thappad kill
fellow tiwari part loot,0,fellow tiwari direction loot
sal bevakuf banane nikala murkh bhadva,2,year bevakuf banane nikala murkh pimp
bhadva kanhiya kutte gaddar sale pakistani kutta dalla,2,pimp kanhiya dog ratter sucker pakistani dog dalla
mania tuh nich modisahab laker gaand jalan,2,mania tuh scummy modisahab laker ass jealousy
kapil sibbal border ulta latka chhed uski randi maa pehchan sak,2,tawny sibbal border inside-out latka puncture hers hooker mother acknowledgement sak
sorry gali likh hindi poor bhadva chutiya gujarati gali deta,2,sorry passage likh hindi poor pimp fucker gujarati passage deta
bhadva havaskhor dec gujrat dikh payega lena muh chupa pada bhadva harpik havsakhor,2,pimp havaskhor dec gujrat dikh payega have muh chupa pada pimp harpik havsakhor
bhadva aiyar,2,pimp aiyar
bhadva madarchod bhakt,2,pimp motherfucker adorer
sorry chakkichods forgot add bhadva owaisi count,2,sorry chakkichods forgot add pimp owaisi count
bhadva,2,pimp
aano pan javab aapi bhadva pavaya,2,aano pan javab aapi pimp pavaya
dallal sale bhadva congress gandu manishankar,2,dallal sucker pimp congress faggot manishankar
congress bhadva madrchod,2,congress pimp mother fucker
neem pta kadva karan patel bhadva chaman chuti izzat utarvane tulla,2,neem pta kadva score patel pimp flower garden fucker  izzat utarvane tulla
randi chodne bhadva aagaya,2,hooker fuck pimp aagaya
nikla paki bhadva hindu naam istamal abey katve,1,nikla paki pimp hindu title istamal abey katve
bhadva khali hay tihar tyari baki india safe hay life achha,2,pimp uncrowded hay tihar tyari rest india safe hay life wise
anurag bhadva rahul baap,2,anurag pimp rahul father
bhadva miljaye uski maa chod,2,pimp miljaye hers mother fuck
pmsupariattack sach kadva manishanker aiyyer pakistan bhadva sorry don hindi language,2,pmsupariattack sach kadva manishanker aiyyer Pakistan pimp sorry don hindi language
bhadva congress,2,pimp congress
jhatu saala bhadva,2,jhatu sucker pimp
